attribute_code,option_code,option_value
axis_size_fr,UNIQUEZADZA,UNIQUE
axis_size_fr,SIZE_MONTH_3,3 mois
axis_size_fr,SIZE_MONTH_6,6 mois
axis_size_fr,SIZE_MONTH_9,9 mois
axis_size_fr,SIZE_MONTH_12,12 mois
axis_size_fr,SIZE_MONTH_18,18 mois
axis_size_fr,SIZE_MONTH_24,24 mois
axis_size_fr,SIZE_MONTH_36,36 mois
axis_size_fr,SIZE_2,2 ans
axis_size_fr,SIZE_3,3 ans
axis_size_fr,SIZE_4,4 ans
axis_size_fr,SIZE_6,6 ans
axis_size_fr,SIZE_8,8 ans
axis_size_fr,SIZE_10,10 ans
axis_size_fr,SIZE_12,12 ans
axis_size_fr,SIZE_14,14 ans
axis_size_fr,SIZE_16,16 ans
axis_size_fr,SIZE_3_4,3-4 ans
axis_size_fr,SIZE_5_6,5-6 ans
axis_size_fr,SIZE_7_8,7-8 ans
axis_size_fr,SIZE_9_10,9-10 ans
axis_size_fr,SIZE_10_12,10-12 ans
axis_size_fr,SIZE_13_14,13-14 ans
axis_size_fr,SIZE_14_16,14-16 ans
axis_size_fr,SIZE_XXXS,XXXS
axis_size_fr,SIZE_XXS,XXS
axis_size_fr,SIZE_XS,XS
axis_size_fr,SIZE_S,S
axis_size_fr,SIZE_S_M,S/M
axis_size_fr,SIZE_M,M
axis_size_fr,SIZE_M_L,M/L
axis_size_fr,SIZE_L,L
axis_size_fr,SIZE_L_XL,L/XL
axis_size_fr,SIZE_XL,XL
axis_size_fr,SIZE_XXL,XXL
axis_size_fr,SIZE_XL_XXL,XL/XXL
axis_size_fr,SIZE_XXXL,XXXL
axis_size_fr,SIZE_XXXXL,XXXXL
axis_size_fr,SIZE_32,32
axis_size_fr,SIZE_34,34
axis_size_fr,SIZE_34_36,34/36
axis_size_fr,SIZE_36,36
axis_size_fr,SIZE_38,38
axis_size_fr,SIZE_38_40,38/40
axis_size_fr,SIZE_40,40
axis_size_fr,SIZE_42,42
axis_size_fr,SIZE_42_44,42/44
axis_size_fr,SIZE_44,44
axis_size_fr,SIZE_46,46
axis_size_fr,SIZE_46_48,46/48
axis_size_fr,SIZE_48,48
axis_size_fr,SIZE_50,50
axis_size_fr,SIZE_50_52,50/52
axis_size_fr,SIZE_52,52
axis_size_fr,SIZE_54,54
axis_size_fr,SIZE_54_56,54/56
axis_size_fr,SIZE_56,56
axis_size_fr,SIZE_58,58
axis_size_fr,SIZE_58_60,58/60
axis_size_fr,SIZE_60,60
axis_size_fr,SIZE_62,62
axis_size_fr,SIZE_64,64
axis_size_fr,SIZE_66,66
axis_size_fr,SIZE_68,68
axis_size_fr,SIZE_70_AND_MORE,70 et plus
axis_bra_size,75A,75A
axis_bra_size,75B,75B
axis_bra_size,75C,75C
axis_bra_size,75D,75D
axis_bra_size,80A,80A
axis_bra_size,80B,80B
axis_bra_size,80C,80C
axis_bra_size,80D,80D
axis_bra_size,80E,80E
axis_bra_size,85A,85A
axis_bra_size,85B,85B
axis_bra_size,85C,85C
axis_bra_size,85D,85D
axis_bra_size,85E,85E
axis_bra_size,90A,90A
axis_bra_size,90B,90B
axis_bra_size,90C,90C
axis_bra_size,90D,90D
axis_bra_size,95A,95A
axis_bra_size,95B,95B
axis_bra_size,95C,95C
axis_bra_size,95D,95D
axis_bra_size,95E,95E
axis_bra_size,95F,95F
axis_bra_size,95G,95G
axis_bra_size,100A,100A
axis_bra_size,100B,100B
axis_bra_size,100C,100C
axis_bra_size,100E,100E
axis_bra_size,100F,100F
axis_bra_size,100G,100G
axis_bra_size,105A,105A
axis_bra_size,105B,105B
axis_bra_size,105C,105C
axis_bra_size,105D,105D
axis_bra_size,105E,105E
axis_bra_size,105F,105F
axis_bra_size,105G,105G
axis_ski_pole_size,0_85_CM,0-85 cm
axis_ski_pole_size,90_95_CM,90-95 cm
axis_ski_pole_size,100_105_CM,100-105 cm
axis_ski_pole_size,110_115_CM,110-115 cm
axis_ski_pole_size,120_125_CM,120-125 cm
axis_ski_pole_size,130_AND_MORE,130 cm et plus
axis_wakeboard_size,132_AND_LESS,132 et moins
axis_wakeboard_size,133_135,133 à 135
axis_wakeboard_size,136_139,136 à 139
axis_wakeboard_size,140_AND_MORE,140 et plus
axis_sizes_inches,50_59_INCHES,50' - 59' pouces
axis_sizes_inches,60_69_INCHES,60' - 69' pouces
axis_sizes_inches,70_79_INCHES,70' - 79' pouces
axis_sizes_inches,80_89_INCHES,80' - 89' pouces
axis_sizes_inches,90_99_INCHES,90' - 99' pouces
axis_sizes_inches,100_109_INCHES,100' - 109' pouces
axis_sizes_inches,110_119_INCHES,110' - 119' pouces
axis_sizes_inches,120_MORE,12 pouces et plus
axis_helmet_size,50_51,50-51 cm
axis_helmet_size,52_23,52-53 cm
axis_helmet_size,54_55,54-55 cm
axis_helmet_size,56_57,56-57 cm
axis_helmet_size,58_59,58-59 cm
axis_helmet_size,60_61,60-61 cm
axis_helmet_size,62_63,62-63 cm
axis_helmet_size,64_AND_MORE,64 cm et plus
axis_socks_size,15_18,15/18
axis_socks_size,19_22,19/22
axis_socks_size,23_26,23/26
axis_socks_size,27_30,27/30
axis_socks_size,31_34,31/34
axis_socks_size,35_36,35/36
