code,title,type
sku,SKU/SKU M BITE,text
shop_id,ID Boutique/Shop ID,text
ean,EAN/EAN,text
title,Titre du produit/Product Title,text
long_description,Description Longue/Long description,textarea
category,Catégories/Category,text
ecotax,Ecotaxe/Ecotax,text
main_photo,Photo principale/Main photo,media
photo_1,Photo complémentaire 1/Complementary photo 1,media
photo_2,Photo complémentaire 2/Complementary photo 2,media
photo_3,Photo complémentaire 3/Complementary photo 3,media
photo_4,Photo complémentaire 4/Complementary photo 4,media
photo_5,Photo complémentaire 5/Complementary photo 5,media
photo_6,Photo complémentaire 6/Complementary photo 6,media
photo_7,Photo complémentaire 7/Complementary photo 7,media
photo_8,Photo complémentaire 8/Complementary photo 8,media
photo_9,Photo complémentaire 9/Complementary photo 9,media
photo_10,Photo complémentaire 10/Complementary photo 10,media
brand,Marques/Brand,text
sport,Sport/Sport,text
gender,Genre/Gender,text
axis_main_color,Couleur principale/Main Color,text
secondary_color,Couleur secondaire/Secondary Color,text
variant_id,ID Variant/Variant ID,text
advice_1,Conseil 1/Advice 1,textarea
advice_2,Conseil 2/Advice 2,textarea
advice_3,Conseil 3/Advice 3,textarea
technical_info_1,Informations Technique 1/Technical Informations 1,textarea
technical_info_2,Informations Technique 2/Technical Informations 2,textarea
technical_info_3,Informations Technique 3/Technical Informations 3,textarea
related_product_ean_1,EAN produit lié 1,text
related_product_ean_2,EAN produit lié 2,text
related_product_ean_3,EAN produit lié 3,text
related_product_ean_4,EAN produit lié 4,text
related_product_ean_5,EAN produit lié 5,text
related_product_ean_6,EAN produit lié 6,text
related_product_ean_7,EAN produit lié 7,text
related_product_ean_8,EAN produit lié 8,text
related_product_ean_9,EAN produit lié 9,text
related_product_ean_10,EAN produit lié 10,text
axis_size_fr,Tailles/FR Size,select
axis_shoes_size,Pointures/Shoes Size,select
clothing_type,Type de vêtement/Clothing Type,select
underwear_type,Type de sous-vêtement/Underwear Type,select
football_shoes_ground,Type de Terrain/Ground Type,select
football_jersey_type,Type de maillot/Jersey type,select
football_ball_type,Type de ballon/ball type,select
football_shirt_sleeve_type,Type de manche/Sleeve Type,select
football_bags_type,Type de produit/Product Type,select
football_access_type,Type de produit/Product Type,select
football_pg_type,Type de produit/Product Type,select
axis_football_gloves_size,Tailles/Gloves size,select
foot_jersey_l1_type,Ligue 1/League1,select
foot_jersey_l2_type,Ligue 2/League 2,select
foot_jersey_pl_type,Premier League/Premier League,select
foot_jersey_bl_type,Bundesliga/Bundesliga,select
