code,parent,title
MarketPlace,,MarketPlace
MKP_SPORTS_AND_RECREATION,MarketPlace,Sports & Loisirs
MKP_TEAM_SPORTS,MKP_SPORTS_AND_RECREATION,Sports Collectifs 
MKP_FOOTBALL,MKP_TEAM_SPORTS,Football
MKP_FOOTBALL_CLOTHING,MKP_FOOTBALL,Vêtements de Football 
MKP_FOOTBALL_BALLOONS,MKP_FOOTBALL,Ballon de Football 
MKP_FOOTBALL_SHOES,MKP_FOOTBALL,"Chaussures,crampons"
MKP_FOOTBALL_UNDERWEAR,MKP_FOOTBALL,Sous-vêtements de Football 
MKP_FOOTBALL_ACCESS,MKP_FOOTBALL,Accessoires de Football 
MKP_FOOTBALL_BAGS_LUGAGE,MKP_FOOTBALL,"Sacs de Football, Bagagerie "
MKP_FOOTBALL_PG,MKP_FOOTBALL,Protections de Football 
MKP_FOOTBALL_FOOTBALL_JERSEY,MKP_FOOTBALL,Maillots de Football 
MKP_WINTER_SPORTS,MKP_SPORTS_AND_RECREATION,Sports d'hiver 
MKP_SKIING,MKP_WINTER_SPORTS,Ski
MKP_SKIING_SKIS,MKP_SKIING,Skis
MKP_SKIING_GOGGLES,MKP_SKIING,Bâtons de ski 
MKP_SKIING_SKIS_BINDING,MKP_SKIING,Fixations skis 
MKP_SKIING_SETS,MKP_SKIING,Pack skis et fixations 
MKP_SKIING_SHOES,MKP_SKIING,Chaussures de ski 
MKP_SKIING_CLOTHING,MKP_SKIING,Vêtements ski 
MKP_SKIING_ACCESS,MKP_SKIING,Accessoires de ski 
MKP_SKIING_BAGS_LUGAGE,MKP_SKIING,Sacs et bagages ski 
MKP_SKIING_MAINTENANCE,MKP_SKIING,Entretien des skis
MKP_SKIING_PG,MKP_SKIING,Protections ski 
MKP_SKIING_SAFETY_SURVIVAL,MKP_SKIING,Sécurité en ski et survie 
MKP_SKI_TOURING,MKP_SKIING,Ski de randonnée 
MKP_SKI_ELECTRONICS,MKP_SKIING,Electronique et Connecté
MKP_SNOWBOARDING,MKP_WINTER_SPORTS,Snowboard 
MKP_SNOWBOARDING_SNOWBOARDS,MKP_SNOWBOARDING,Planches snowboard 
MKP_SNOWBOARDING_SETSSNOWBOARDS,MKP_SNOWBOARDING,Packs snowboards et fixations 
MKP_SNOWBOARDING_SAFETY_SURVIVAL,MKP_SNOWBOARDING,Sécurité en snowboard et survie 
MKP_SNOWBOARDING_MAINTENANCE,MKP_SNOWBOARDING,Entretien snowboard 
MKP_SNOWBOARDING_SKIS_BINDING,MKP_SNOWBOARDING,Fixations snowboard 
MKP_SNOWBOARDING_SHOES,MKP_SNOWBOARDING,Chaussures de snowboard 
MKP_SNOWBOARDING_CLOTHING,MKP_SNOWBOARDING,Vêtements Snowboard 
MKP_SNOWBOARDING_BAGS_LUGAGE,MKP_SNOWBOARDING,Sacs et bagages snowboard 
MKP_SNOWBOARDING_PG,MKP_SNOWBOARDING,Protections snowboard 
MKP_SNOWBOARDING_ELECTRONICS,MKP_SNOWBOARDING,Electronique et Connecté snowboard 
MKP_CYCLING,MKP_SPORTS_AND_RECREATION,Cyclisme 
MKP_BIKES_CYCLING,MKP_CYCLING,"Vélos, Cyclisme "
MKP_CYCLING_BIKES,MKP_BIKES_CYCLING,Vélos 
MKP_CYCLING_JERSEY,MKP_BIKES_CYCLING,Maillots Cyclisme 
MKP_CYCLING_BIKES_ACCESS,MKP_BIKES_CYCLING,Accessoires vélo 
MKP_CYCLING_BIKES_TOOLS,MKP_BIKES_CYCLING,Outils et entretien du vélo 
MKP_CYCLING_HELMETS_EQPT,MKP_BIKES_CYCLING,Casques & Équipement du cycliste 
MKP_CYCLING_COMPONENTS_PARTS,MKP_BIKES_CYCLING,Pièces détachées pour vélo
MKP_CYCLING_NUTRITION_SAFETY,MKP_BIKES_CYCLING,Nutrition et soin du cycliste 
MKP_BASKETBALL,MKP_TEAM_SPORTS,Basketball
MKP_BASKETBALL_CLOTHING,MKP_BASKETBALL,Vêtements basketball 
MKP_BASKETBALL_BALLS,MKP_BASKETBALL,Ballons de basket 
MKP_BASKETBALL_SHOES,MKP_BASKETBALL,Chaussures de Basketball 
MKP_BASKETBALL_BAGS_LUGAGE,MKP_BASKETBALL,"Sacs, Bagagerie Basketball "
MKP_BASKETBALL_JERSEY,MKP_BASKETBALL,Maillots de Basketball 
MKP_BASKETBALL_UNDERWEAR,MKP_BASKETBALL,Sous-vêtements Basketball 
MKP_BASKETBALL_ACCESS,MKP_BASKETBALL,Accessoires & Équipements Basketball 
MKP_BASKETBALL_PG,MKP_BASKETBALL,Protections basketball 
MKP_RUGBY,MKP_TEAM_SPORTS,Rugby
MKP_RUGBY_CLOTHING,MKP_RUGBY,Vêtements rugby 
MKP_RUGBY_BALLS,MKP_RUGBY,Ballons de rugby 
MKP_RUGBY_SHOES,MKP_RUGBY,Chaussures Rugby 
MKP_RUGBY_BAGS_LUGAGE,MKP_RUGBY,"Sacs, Bagagerie rugby "
MKP_RUGBY_JERSEY,MKP_RUGBY,Maillots de rugby 
MKP_RUGBY_ACCESS,MKP_RUGBY,Accessoires rugby 
MKP_RUGBY_PG,MKP_RUGBY,Protections Rugby 
MKP_RUGBY_UNDERWEAR,MKP_RUGBY,Sous-vêtements Rugby 
MKP_BASEBALL,MKP_TEAM_SPORTS,Baseball
MKP_BASEBALL_BALLS,MKP_BASEBALL,Balles de baseball 
MKP_BASEBALL_BAT,MKP_BASEBALL,Battes de baseball 
MKP_BASEBALL_GLOVES,MKP_BASEBALL,Gants de baseball 
MKP_BASEBALL_CAPS,MKP_BASEBALL,Casquettes de baseball 
MKP_BASEBALL_ACCESS,MKP_BASEBALL,Accessoires Baseball 
MKP_BASEBALL_CLOTHING,MKP_BASEBALL,Tenues Baseball 
MKP_VOLLEYBALL,MKP_TEAM_SPORTS,Volleyball
MKP_VOLLEYBALL_CLOTHING,MKP_VOLLEYBALL,Vêtements volleyball 
MKP_VOLLEYBALL_BAGS_LUGAGE,MKP_VOLLEYBALL,"Sacs, Bagagerie volleyball "
MKP_VOLLEYBALL_BALLS,MKP_VOLLEYBALL,Ballons de volley 
MKP_VOLLEYBALL_JERSEY,MKP_VOLLEYBALL,Maillots de volley 
MKP_VOLLEYBALL_SHOES,MKP_VOLLEYBALL,Chaussures de volley 
MKP_VOLLEYBALL_ACCESS,MKP_VOLLEYBALL,Accessoires volley 
MKP_VOLLEYBALL_PG,MKP_VOLLEYBALL,Protections volleyball 
MKP_HANDBALL,MKP_TEAM_SPORTS,Handball
MKP_HANDBALL_CLOTHING,MKP_HANDBALL,Vêtements Handball 
MKP_HANDBALL_BAGS_LUGAGE,MKP_HANDBALL,"Sacs, Bagagerie Handball "
MKP_HANDBALL_SHOES,MKP_HANDBALL,Chaussures Handball 
MKP_HANDBALL_PG,MKP_HANDBALL,Protections Handball 
MKP_HANDBALL_ACCESS,MKP_HANDBALL,Accessoires handball 
MKP_HANDBALL_BALLS,MKP_HANDBALL,Ballons de handball 
MKP_RACQUET_SPORTS,MKP_SPORTS_AND_RECREATION,Sports de raquette 
MKP_TENNIS,MKP_RACQUET_SPORTS,Tennis
MKP_TENNIS_RACQUET,MKP_TENNIS,Raquettes de tennis 
MKP_TENNIS_BAGS_LUGAGE,MKP_TENNIS,"Sacs, Bagagerie Tennis "
MKP_TENNIS_SHOES,MKP_TENNIS,Chaussures de Tennis 
MKP_TENNIS_CLOTHING,MKP_TENNIS,Vêtements de Tennis 
MKP_TENNIS_NUTRITION,MKP_TENNIS,Nutrition du tennisman 
MKP_TENNIS_ACCESS,MKP_TENNIS,Accessoires de Tennis 
MKP_TENNIS_BALL,MKP_TENNIS,Balles de tennis 
MKP_TENNIS_GRIPS,MKP_TENNIS,Cordages et grips 
MKP_BADMINTON,MKP_RACQUET_SPORTS,Badminton
MKP_BADMINTON_RACQUETS,MKP_BADMINTON,Raquettes Badminton 
MKP_BADMINTON_BAGS_LUGAGE,MKP_BADMINTON,"Sacs, Bagagerie Badminton "
MKP_BADMINTON_CLOTHING,MKP_BADMINTON,Vêtements Badminton 
MKP_BADMINTON_SHOES,MKP_BADMINTON,ChaussuresBadminton 
MKP_BADMINTON_ACESS,MKP_BADMINTON,Accessoires Badminton 
MKP_BADMINTON_GRIPS,MKP_BADMINTON,Cordages et grips Badminton 
MKP_BADMINTON_SHUTTLECOCKS,MKP_BADMINTON,Volants Badminton 
MKP_TABLE_TENNIS,MKP_RACQUET_SPORTS,Ping Pong
MKP_TABLE_TENNIS_SHOES,MKP_TABLE_TENNIS,Chaussures Ping Pong
MKP_TABLE_TENNIS_CLOTHING,MKP_TABLE_TENNIS,Vêtements Ping Pong
MKP_TABLE_TENNIS_BALL,MKP_TABLE_TENNIS,Balles de Ping Pong
MKP_TABLE_TENNIS_RACQUETS,MKP_TABLE_TENNIS,Raquettes de Ping-Pong 
MKP_TABLE_TENNIS_TABLE,MKP_TABLE_TENNIS,Tables de Ping Pong
MKP_TABLE_TENNIS_ACCESS,MKP_TABLE_TENNIS,Accessoires Ping Pong
MKP_SQUASH,MKP_RACQUET_SPORTS,Squash
MKP_SQUASH_RACQUET,MKP_SQUASH,Raquettes de squash 
MKP_SQUASH_CLOTHING,MKP_SQUASH,Vêtements Squash 
MKP_SQUASH_BALL,MKP_SQUASH,Balles de squash 
MKP_SQUASH_GRIP,MKP_SQUASH,Cordages et grips Squash 
MKP_SQUASH_SAFETY_GLASSES,MKP_SQUASH,Lunettes de protection Squash 
MKP_WATER_SPORTS,MKP_SPORTS_AND_RECREATION,Sports d'eau 
MKP_SWIMMING,MKP_WATER_SPORTS,"Natation, Piscine "
MKP_SWIMMING_SWIMINGSUIT,MKP_SWIMMING,"Maillots de natation, piscine "
MKP_SWIMMING_ACCESS,MKP_SWIMMING,Accessoires natation 
MKP_SWIMMING_EQPT,MKP_SWIMMING,"Équipement natation, piscine "
MKP_SWIMMING_NUTRITION,MKP_SWIMMING,Nutrition du nageur 
MKP_SWIMMING_SAFETY,MKP_SWIMMING,Protections et soins du nageur 
MKP_SWIMMING_TRIATHLON_EQPT,MKP_SWIMMING,Equipement Triathlon 
