family_code,family_title,attribute,required
FOOTBALL_BALLOONS,Football Ballons/Football balloon,,
,,ean,1
,,shop_id,0
,,sku,1
,,title,1
,,long_description,1
,,ecotax,1
,,category,1
,,main_photo,1
,,photo_1,0
,,photo_2,0
,,photo_3,0
,,photo_4,0
,,photo_5,0
,,photo_6,0
,,photo_7,0
,,photo_8,0
,,photo_9,0
,,photo_10,0
,,brand,1
,,sport,0
,,gender,1
,,axis_shoes_size,0
,,axis_size_fr,0
,,axis_main_color,1
,,secondary_color,0
,,variant_id,0
,,advice_1,0
,,advice_2,0
,,advice_3,0
,,technical_info_1,0
,,technical_info_2,0
,,technical_info_3,0
,,axis_football_ball_size,1
,,football_ball_type,0
,,related_product_ean_1,0
,,related_product_ean_2,0
,,related_product_ean_3,0
,,related_product_ean_4,0
,,related_product_ean_5,0
,,related_product_ean_6,0
,,related_product_ean_7,0
,,related_product_ean_8,0
,,related_product_ean_9,0
,,related_product_ean_10,0
