ean,family,sku,title,long_description,ecotax,category,main_photo,photo_1,photo_2,photo_3,photo_4,photo_5,photo_6,photo_7,photo_8,photo_9,photo_10,brand,sport,gender,axis_shoes_size,axis_size_fr,axis_main_color,secondary_color,variant_id,advice_1,advice_2,advice_3,technical_info_1,technical_info_2,technical_info_3,axis_football_ball_size,football_ball_type,related_product_ean_1,related_product_ean_2,related_product_ean_3,related_product_ean_4,related_product_ean_5,related_product_ean_6,related_product_ean_7,related_product_ean_8,related_product_ean_10,related_product_ean_10
1zad,FOOTBALL_BALLOONS,409882069276796,TITR,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
2zad,FOOTBALL_BALLOONS,582368394284007,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
3zad,FOOTBALL_BALLOONS,767865966144318,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
4zad,FOOTBALL_BALLOONS,672512651848201,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
5zad,FOOTBALL_BALLOONS,502413880327634,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
6zad,FOOTBALL_BALLOONS,405137906885115,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
365041155374204,FOOTBALL_BALLOONS,405328933837412,TITR,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
354395721496414,FOOTBALL_BALLOONS,721532515915212,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
276685603119058,FOOTBALL_BALLOONS,329428302907612,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
422713922711393,FOOTBALL_BALLOONS,171404723132493,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
59306160584509,FOOTBALL_BALLOONS,943971622977402,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
490346985096287,FOOTBALL_BALLOONS,915461218587747,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
729701912738246,FOOTBALL_BALLOONS,577503639548259,TITR,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
919429343762444,FOOTBALL_BALLOONS,173828159179195,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
239858927299643,FOOTBALL_BALLOONS,1423428826415,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
787242620463991,FOOTBALL_BALLOONS,108367463045636,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
8733534682146,FOOTBALL_BALLOONS,271763142831555,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
1231902542739,FOOTBALL_BALLOONS,561138178161221,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
805421810047767,FOOTBALL_BALLOONS,736068336989628,TITR,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd,zadazd
